D,S,"110656917","DEMANZ ENTERPRISES",,,,"L25 BLK 72 KAMUNING ST","AMPARO SUBD",0,0,66820.71,8018.49,008791976,05/31/2026
D,S,"003924202","DRAGON CONSTRUCTION INC",,,,"315 ROOSEVELT AVE","QUEZON CITY",0,0,324900.00,38988.00,008791976,05/31/2026
D,S,"010522036","DYTANTECH LOGISTICS SOLUTIONS INCORPORATED",,,,,,0,0,2691.07,322.93,008791976,05/31/2026
D,S,"008748393","E L TORRES CONSTRUCTION AND TRADING INC",,,,"GREATER LAGRO","QUEZON CITY",0,0,1369800.00,164376.00,008791976,05/31/2026
D,S,"008149246","ELEMENT INDUSTRIAL BUILDERS INC",,,,"BRGY FORTUNE","MARIKINA CITY",0,0,1408841.07,169060.93,008791976,05/31/2026
D,S,"009258979","ELITE MARINE CONSTRUCTION CORPORATION",,,,"FRANCISCO SERRO ST","TONDO MANILA",0,0,30547.77,3665.73,008791976,05/31/2026
D,S,"000123456","END USER",,,,,,0,0,34482999.31,4137959.92,008791976,05/31/2026
D,S,"008718484","ENZORED INC",,,,"SAMPAGUITA VILL MALANDAY","MARIKINA CITY",0,0,37587.50,4510.50,008791976,05/31/2026
D,S,"911771390","EQUIBUILD ENTERPRISES",,,,"STA CRUZ ANGAT","BULACAN",0,0,62891.50,7546.98,008791976,05/31/2026
D,S,"147848268","ERM BUILDERS",,,,,,0,0,20428.57,2451.43,008791976,05/31/2026
D,S,"107979311","EVACA CIVIL ENGINEERING CONSTRUCTION",,,,"MORNING BREEZE BARANGAY 85","CALOOCAN CITY",0,0,187813.86,22537.66,008791976,05/31/2026
D,S,"664280379","FELJES HARDWARE AND MARINE INC",,,,"536 M NAVAL ST BANGCULASI","CITY OF NAVOTAS",0,0,302225.00,36267.00,008791976,05/31/2026
D,S,"000301166","FINEBEND INDUSTRIAL ENTERPRISE CORP",,,,"BAGONG BARRIO","CALOOCAN CITY",0,0,70882.14,8505.86,008791976,05/31/2026
D,S,"001033694","FIRST PHILIPPINE SCALES INC.",,,,,,0,0,114910.71,13789.29,008791976,05/31/2026
D,S,"226072565","FRV TRUCKING CORPORATION",,,,"3 ILAGAN ST PALTOK","QUEZON CITY",0,0,31628.57,3795.43,008791976,05/31/2026
D,S,"223558097","G C E COMMERCIAL",,,,"BRGY 514 ZONE 51","SAMPALOC MANILA",0,0,91509.25,10981.11,008791976,05/31/2026
D,S,"008934597","GOLDEN TOWER STEEL TRADING CORPORATION",,,,"PRENZA HIGHWAY DIST 1","CITY OF CAUYAN ISABELA",0,0,1608348.20,193001.78,008791976,05/31/2026
D,S,"002009290","GOLDWYN CONTRACTOR AND ALLIED SERVICES",,,,"248 REPARO ROAD BAESA","CALOOCAN CITY",0,0,20178.57,2421.43,008791976,05/31/2026
D,S,"008322971","GOODSPEED INDUSTRIAL SALES INC",,,,"1354 SOLER ST STA CRUZ","MANILA",0,0,88125.00,10575.00,008791976,05/31/2026
D,S,"007835705","GREAT DURA STEEL FABRICATORS INC",,,,"BAGONG BARRIO","CALOOCAN CITY",0,0,1150059.82,138007.18,008791976,05/31/2026
D,S,"603815593","GRUMPY JOE OPC",,,,"225 UPPER SESSION ROAD AREA","BAGUIO CITY BENGUET",0,0,200982.14,24117.86,008791976,05/31/2026
D,S,"000328071","HENSON INDUSTRIAL CENTER CORP",,,,"940 KUSANG LOOB ST","STA CRUZ MANILA",0,0,21000.00,2520.00,008791976,05/31/2026
D,S,"005982483","ILOILO NATIONWIDE HARDWARE INC",,,,"40 RIZAL STREET RIZAL IBARRA","CITY OF ILOILO",0,0,335994.64,40319.36,008791976,05/31/2026
D,S,"234373746","INDUSTRIAL GALVANIZERS CORPORATION OF THE PHIL.",,,,,,0,0,790178.57,94821.43,008791976,05/31/2026
D,S,"296194386","IRONMAR CONSTRUCTION SUPPLIES TRADING",,,,,,0,0,176000.00,21120.00,008791976,05/31/2026
D,S,"738666306","JEFF WELDING SHOP",,,,"PRK TALISAY MAGUGPO NORTH","CITY OF TAGUM",0,0,5376849.64,645221.96,008791976,05/31/2026
D,S,"010919844","LAZARUS MERCHANDISING OPC",,,,"PAG-ASA II","IMUS CAVITE",0,0,517356.34,62082.76,008791976,05/31/2026
D,S,"216512066","LINEAR COOLING TOWER INC",,,,"BRGY MANRESA","QUEZON CITY",0,0,397678.57,47721.43,008791976,05/31/2026
D,S,"000289038","LIWAYWAY MARKETING CORPORATION",,,,"KM 23 ANABU","IMUS CAVITE",0,0,748936.61,89872.39,008791976,05/31/2026
D,S,"408260200","LONG ISLAND ENTERPRISES",,,,"SAN LAZARO ST","STA CRUZ MANILA",0,0,73114.29,8773.71,008791976,05/31/2026
D,S,"665596221","LORDFEL MARINE AND HARDWARE CORP",,,,"1086 M NAVAL ST SAN JOSE","CITY OF NAVOTAS",0,0,1255432.59,150651.91,008791976,05/31/2026
D,S,"009561242","LUCKY OLYM TRADING INC",,,,,,0,0,732187.50,87862.50,008791976,05/31/2026
D,S,"008893087","M P REG STRUCTURAL SYSTEM CORPORATION",,,,"NORTH FAIRVIEW 2","QUEZON CITY",0,0,533257.50,63990.90,008791976,05/31/2026
D,S,"900130983","MARKLEB METAL FABRICATION SERVICES",,,,"PANGARAP VILLAGE BRGY 181","CALOOCAN CITY",0,0,82053.57,9846.43,008791976,05/31/2026
D,S,"010367951","MASAYOSHI CORPORATION",,,,"TANZANG LUMA V","IMUS CITY CAVITE",0,0,1392944.64,167153.36,008791976,05/31/2026
D,S,"008905955","MATSON BUILDERS AND DEVELOPMENT CORPORATION",,,,"SOCORRO DISTRICT 3","QUEZON CITY",0,0,735134.82,88216.18,008791976,05/31/2026
D,S,"000388110","MC ENGINEERING INC",,,,,,0,0,46125.00,5535.00,008791976,05/31/2026
D,S,"010911386","MC STEEL MERCHANDISING INC",,,,"TANZANG LUMA V","IMUS CAVITE",0,0,2907000.97,348840.12,008791976,05/31/2026
D,S,"204116608","METRO STONERICH CORPORATION",,,,"85 TIMOG AVE","QUEZON CITY",0,0,1298196.43,155783.57,008791976,05/31/2026
D,S,"010804534","MINDORO MARINE MANUFACTURING CORPORATION",,,,,,0,0,222388.39,26686.61,008791976,05/31/2026
D,S,"235528886","MLC HDWE AND GEN CONST SUPPLY",,,,"BAYANBAYANAN AVE","MARIKINA CITY",0,0,12783.93,1534.07,008791976,05/31/2026
D,S,"241703328","MONUMENTAL STEEL TRADING CORPORATION",,,,"SILVERGATE WAREHOUSE 16","MARILAO BULACAN",0,0,16977.70,2037.32,008791976,05/31/2026
D,S,"008424589","MULTI PLY PAPER VENTURES INC",,,,"BUNDAGUL  MABALACAT CITY","PAMPANGA",0,0,153026.16,18363.14,008791976,05/31/2026
D,S,"010762846","NEW ANC CORP",,,,"NO 6 MACOPA STREET SAINT PETER","QUEZON CITY",0,0,21875.00,2625.00,008791976,05/31/2026
D,S,"004753901","NEW MILLENIUM HARDWARE INC",,,,"SUBANGDAKU MANDAUE CITY","MANDAUE",0,0,3575000.00,429000.00,008791976,05/31/2026
D,S,"657499364","NEW STAR SHIPPING LINE INC",,,,"NARRA AVENUE VILLAMONTE","BACOLOD NEGROS OCCIDENTAL",0,0,2034707.14,244164.86,008791976,05/31/2026
D,S,"009308131","NEW VANDAMME OIL MILL CORP",,,,"BRGY MAYAO SILANGAN","QUEZON CITY",0,0,247150.00,29658.00,008791976,05/31/2026
D,S,"002857177","NFF INDUSTRIAL CORPORATION",,,,"METRO MANILA","METRO MANILA",0,0,71496.43,8579.57,008791976,05/31/2026
D,S,"010606813","NIU SUMMIT METAL TRADING INC",,,,"2858 ZAMORA ST BARANGAY 98","PASAY CITY",0,0,36169.64,4340.36,008791976,05/31/2026
D,S,"003741366","NTPI INTERNATIONAL INC",,,,"MANILA","MANILA",0,0,63675.00,7641.00,008791976,05/31/2026
D,S,"005425488","OCEANIC CONTAINER LINES INC",,,,"606 A RAXABAGO ST BRGY 150","TONDO MANILA",0,0,315058.93,37807.07,008791976,05/31/2026
D,S,"000285572","ORO SOLID HARDWARE INC",,,,"DON OSMENA ST","CAGAYAN DE ORO CITY",0,0,532053.57,63846.43,008791976,05/31/2026
D,S,"004742446","P AND H MERCHANDISING CORPORATION",,,,"1117 T MAPUA ST","STA CRUZ MANILA",0,0,1640390.18,196846.82,008791976,05/31/2026
D,S,"000315775","P I HARDWARE AND MILL SUPPLY INC",,,,"VILLA ORTIGAS II","QUEZON CITY",0,0,259558.75,31147.05,008791976,05/31/2026
D,S,"102229466","PANTHER ELECTRICAL INDUSTRIES",,,,"LLENADO SUBD KARUHATAN","VALENZUELA METRO MANILA",0,0,486089.52,58330.74,008791976,05/31/2026
D,S,"005532792","PENAFRANCIA SUGAR MILL INC",,,,,,0,0,39010.71,4681.29,008791976,05/31/2026
D,S,"009922060","PETER BENA CONSTRUCTION AND DEVELOPMENT CORPORATIO",,,,"ESCOLTA ST BRGY 291 ZONE 027","BINONDO MANILA",0,0,11285.71,1354.29,008791976,05/31/2026
D,S,"007025011","PHIL BIOCHEM PRODUCTS INC",,,,,,0,0,23071.43,2768.57,008791976,05/31/2026
D,S,"000336683","PORTALLOY INDUSTRIAL SUPPLY CORP",,,,"1013 OROQUIETA ST","STA.CRUZ MANILA",0,0,29330.36,3519.64,008791976,05/31/2026
D,S,"007505126","PR FETALVERO CONSTRUCTION DEVELOPMENT CORP",,,,,,0,0,195436.50,23452.38,008791976,05/31/2026
D,S,"201981861","PROPERTY COMPANY OF FRIENDS INC",,,,"ST ADDITION HILLS","MANDALUYONG CITY",0,0,329464.29,39535.71,008791976,05/31/2026
D,S,"000305240","PROTECTION TECHNOLOGY INC",,,,"643-U TAFT AVE","PASAY CITY",0,0,322982.14,38757.86,008791976,05/31/2026
D,S,"225442141","R A R DE LEON BUILDERS",,,,"MARIKINA VILL. NANGKA","MARIKINA CITY",0,0,196871.50,23624.58,008791976,05/31/2026
D,S,"010822754","R B SORIANO CONSTRUCTION CORPORATION",,,,"SIMEONA VILLAGE VONCEPCION UNO","CITY OF MARIKINA",0,0,18339.29,2200.71,008791976,05/31/2026
D,S,"007976636","REFTEC INDUSTRIAL SUPPLY AND SERVICES INC",,,,,,0,0,275142.86,33017.14,008791976,05/31/2026
D,S,"002725133","REGINA SHIPPING LINES INC",,,,"BRGY APOLONIO","SAMSON QUEZON CITY",0,0,65215.62,7825.87,008791976,05/31/2026
D,S,"292028379","REGINE AND RANNIE WELDING SHOP",,,,"PUROK 6 PUNGO 3003 CALUMPIT","BULACAN",0,0,287523.21,34502.79,008791976,05/31/2026
D,S,"007162146","RJ SPRING RUBBER AND METAL PARTS MFG",,,,"BRGY DELA PAZ","ANTIPOLO",0,0,44263.39,5311.61,008791976,05/31/2026
D,S,"005450958","RR STEEL CENTER INC",,,,"BRGY NOVALICHES PROPER","QUEZON CITY",0,0,251696.43,30203.57,008791976,05/31/2026
D,S,"761208137","RVR STEEL MANUFACTURING",,,,"BRGY PLAINVIEW MANDALUYONG","METRO MANILA",0,0,13794.64,1655.36,008791976,05/31/2026
D,S,"748800450","SAGITTARIUS HARDWARE TRADING",,,,,,0,0,76107.14,9132.86,008791976,05/31/2026
D,S,"008570470","SAS SHIPYARD INC",,,,,,0,0,75000.00,9000.00,008791976,05/31/2026
D,S,"235153045","SENO METAL INC",,,,"J TEODORO ST","CALOOCAN CITY",0,0,3301442.01,396173.04,008791976,05/31/2026
D,S,"000190742","SMC SHIPPING AND LIGHTERAGE CORPORATION",,,,"MANILA HARBOUR","TOND0 MANILA",0,0,525000.00,63000.00,008791976,05/31/2026
D,S,"010275560","SOPHIA GLOBAL TRADING CORPORATION",,,,"LUASAN LOMA DE GATO 3019","MARILAO BULACAN",0,0,58297.86,6995.74,008791976,05/31/2026
D,S,"652722660","SOUTH END CONSTRUCTION SUPPLIES TRADING",,,,"PROPERTY SAMPALOC IV4114","DASMARINAS CAVITE",0,0,123928.57,14871.43,008791976,05/31/2026
D,S,"634737152","SOUTHERN MEGA STEEL ENTERPRISES INC",,,,"BAHAYANG PAG ASA MOLINO III","BACOOR CAVITE",0,0,1659741.07,199168.93,008791976,05/31/2026
D,S,"000379055","SOUTHERN METAL AND INDUSTRIAL SALES CORP",,,,"180 DEL MONTE AVE ST  PETER I","QUEZON CITY",0,0,114464.29,13735.71,008791976,05/31/2026
D,S,"000348485","SPRINT TRANSPORT SERVICES INC",,,,"BRGY  LITTLE BAGUIO","SAN JUAN",0,0,75398.21,9047.79,008791976,05/31/2026
D,S,"009597002","ST MARTHA MEMORIAL HOMES INC",,,,"BRGY VI DAET","CAMARINES NORTE 4600",0,0,223214.29,26785.71,008791976,05/31/2026
D,S,"006890931","STANDFIRM CONSTRUCTION INC",,,,"181  A DEL MUNDO STREET","CALOOCAN CITY",0,0,809915.18,97189.82,008791976,05/31/2026
D,S,"010102877","STEELASIA LEMERY WORKS INC",,,,"KM 122 MATAAS NA BAYAN","LEMERY BATANGAS",0,0,1132183.93,135862.07,008791976,05/31/2026
D,S,"001218978","SUNRISERS SALES CORPORATION",,,,"508 L GRUET ST SAN JUAN","METRO MANILA",0,0,160960.71,19315.29,008791976,05/31/2026
