TIN of Withholding Agent TIN: 008791976-0000
Alphalist Form              : 1601EQ
Taxable Month                : 04/2026

LINE NUM       SCHEDULE     ERROR DESCRIPTION
0000000024     1.0          Amount of Tax Withheld is empty or zero
0000000024     1.0          Detail Insufficient Column
0000000025     1.0          Invalid Payees TIN
0000000025     1.0          Invalid Characters in TIN of Payee
0000000025     1.0          ATC is invalid
0000000025     1.0          Amount of Income Payment is empty or zero
0000000025     1.0          Amount of Tax Withheld is empty or zero
0000000025     1.0          Detail Insufficient Column
0000000026     1.0          Invalid Payees TIN
0000000026     1.0          Invalid Characters in TIN of Payee
0000000026     1.0          ATC is invalid
0000000026     1.0          Amount of Income Payment is empty or zero
0000000026     1.0          Amount of Tax Withheld is empty or zero
0000000026     1.0          Detail Insufficient Column
0000000027     1.0          Invalid Payees TIN
0000000027     1.0          Invalid Characters in TIN of Payee
0000000027     1.0          ATC is invalid
0000000027     1.0          Amount of Income Payment is empty or zero
0000000027     1.0          Amount of Tax Withheld is empty or zero
0000000027     1.0          Detail Insufficient Column
0000000028     1.0          Invalid Payees TIN
0000000028     1.0          Invalid Characters in TIN of Payee
0000000028     1.0          ATC is invalid
0000000028     1.0          Amount of Income Payment is empty or zero
0000000028     1.0          Amount of Tax Withheld is empty or zero
0000000028     1.0          Detail Insufficient Column
0000000029     1.0          Invalid Payees TIN
0000000029     1.0          Invalid Characters in TIN of Payee
0000000029     1.0          ATC is invalid
0000000029     1.0          Amount of Income Payment is empty or zero
0000000029     1.0          Amount of Tax Withheld is empty or zero
0000000029     1.0          Detail Insufficient Column
0000000030     1.0          Invalid Payees TIN
0000000030     1.0          Invalid Characters in TIN of Payee
0000000030     1.0          ATC is invalid
0000000030     1.0          Amount of Income Payment is empty or zero
0000000030     1.0          Amount of Tax Withheld is empty or zero
0000000030     1.0          Detail Insufficient Column
0000000031     1.0          Invalid Payees TIN
0000000031     1.0          Invalid Characters in TIN of Payee
0000000031     1.0          ATC is invalid
0000000031     1.0          Amount of Income Payment is empty or zero
0000000031     1.0          Amount of Tax Withheld is empty or zero
0000000031     1.0          Detail Insufficient Column
0000000032     1.0          Invalid Payees TIN
0000000032     1.0          Invalid Characters in TIN of Payee
0000000032     1.0          ATC is invalid
0000000032     1.0          Amount of Income Payment is empty or zero
0000000032     1.0          Amount of Tax Withheld is empty or zero
0000000032     1.0          Detail Insufficient Column
0000000033     1.0          Invalid Payees TIN
0000000033     1.0          Invalid Characters in TIN of Payee
0000000033     1.0          ATC is invalid
0000000033     1.0          Amount of Income Payment is empty or zero
0000000033     1.0          Amount of Tax Withheld is empty or zero
0000000033     1.0          Detail Insufficient Column
0000000034     1.0          Invalid Payees TIN
0000000034     1.0          Invalid Characters in TIN of Payee
0000000034     1.0          ATC is invalid
